"date","location","new_cases","new_deaths","total_cases","total_deaths"
2019-12-31,"Malaysia",0,0,0,0
2020-01-01,"Malaysia",0,0,0,0
2020-01-02,"Malaysia",0,0,0,0
2020-01-03,"Malaysia",0,0,0,0
2020-01-04,"Malaysia",0,0,0,0
2020-01-05,"Malaysia",0,0,0,0
2020-01-06,"Malaysia",0,0,0,0
2020-01-07,"Malaysia",0,0,0,0
2020-01-08,"Malaysia",0,0,0,0
2020-01-09,"Malaysia",0,0,0,0
2020-01-10,"Malaysia",0,0,0,0
2020-01-11,"Malaysia",0,0,0,0
2020-01-12,"Malaysia",0,0,0,0
2020-01-13,"Malaysia",0,0,0,0
2020-01-14,"Malaysia",0,0,0,0
2020-01-15,"Malaysia",0,0,0,0
2020-01-16,"Malaysia",0,0,0,0
2020-01-17,"Malaysia",0,0,0,0
2020-01-18,"Malaysia",0,0,0,0
2020-01-19,"Malaysia",0,0,0,0
2020-01-20,"Malaysia",0,0,0,0
2020-01-21,"Malaysia",0,0,0,0
2020-01-22,"Malaysia",0,0,0,0
2020-01-23,"Malaysia",0,0,0,0
2020-01-24,"Malaysia",0,0,0,0
2020-01-25,"Malaysia",3,0,3,0
2020-01-26,"Malaysia",1,0,4,0
2020-01-27,"Malaysia",0,0,4,0
2020-01-28,"Malaysia",0,0,4,0
2020-01-29,"Malaysia",3,0,7,0
2020-01-30,"Malaysia",0,0,7,0
2020-01-31,"Malaysia",1,0,8,0
2020-02-01,"Malaysia",0,0,8,0
2020-02-02,"Malaysia",0,0,8,0
2020-02-03,"Malaysia",0,0,8,0
2020-02-04,"Malaysia",0,0,8,0
2020-02-05,"Malaysia",2,0,10,0
2020-02-06,"Malaysia",2,0,12,0
2020-02-07,"Malaysia",2,0,14,0
2020-02-08,"Malaysia",1,0,15,0
2020-02-09,"Malaysia",1,0,16,0
2020-02-10,"Malaysia",2,0,18,0
2020-02-11,"Malaysia",0,0,18,0
2020-02-12,"Malaysia",0,0,18,0
2020-02-13,"Malaysia",0,0,18,0
2020-02-14,"Malaysia",1,0,19,0
2020-02-15,"Malaysia",2,0,21,0
2020-02-16,"Malaysia",1,0,22,0
2020-02-17,"Malaysia",0,0,22,0
2020-02-18,"Malaysia",0,0,22,0
2020-02-19,"Malaysia",0,0,22,0
2020-02-20,"Malaysia",0,0,22,0
2020-02-21,"Malaysia",0,0,22,0
2020-02-22,"Malaysia",0,0,22,0
2020-02-23,"Malaysia",0,0,22,0
2020-02-24,"Malaysia",0,0,22,0
2020-02-25,"Malaysia",0,0,22,0
2020-02-26,"Malaysia",0,0,22,0
2020-02-27,"Malaysia",0,0,22,0
2020-02-28,"Malaysia",1,0,23,0
2020-02-29,"Malaysia",2,0,25,0
2020-03-01,"Malaysia",0,0,25,0
2020-03-02,"Malaysia",4,0,29,0
2020-03-04,"Malaysia",7,0,36,0
2020-03-05,"Malaysia",14,0,50,0
2020-03-06,"Malaysia",0,0,50,0
2020-03-07,"Malaysia",33,0,83,0
2020-03-08,"Malaysia",10,0,93,0
2020-03-09,"Malaysia",6,0,99,0
2020-03-10,"Malaysia",18,0,117,0
2020-03-11,"Malaysia",12,0,129,0
2020-03-12,"Malaysia",20,0,149,0
2020-03-13,"Malaysia",9,0,158,0
2020-03-14,"Malaysia",39,0,197,0
2020-03-15,"Malaysia",41,0,238,0
2020-03-16,"Malaysia",190,0,428,0
2020-03-17,"Malaysia",125,0,553,0
2020-03-18,"Malaysia",120,2,673,2
2020-03-19,"Malaysia",117,0,790,2
2020-03-20,"Malaysia",110,0,900,2
2020-03-21,"Malaysia",130,0,1030,2
2020-03-22,"Malaysia",153,2,1183,4
2020-03-23,"Malaysia",123,6,1306,10
